YEAR;MO;DY;date;week;Radiation;QV2M;RH2M;PRECTOTCORR;PS;WS10M;WS10M_RANGE;WD10M;WS50M;WS50M_RANGE;WD50M;T2M;T2MDEW;T2MWET;TS;T2M_RANGE;T2M_MAX;T2M_MIN
1981;6;18;18/06/1981;25;4.53;7.81;32.25;1.42;98.02;6.04;7.52;107.75;7.87;7.84;107.69;28.47;9.51;18.99;29.3;-264.53;33.55;24.93
1981;6;19;19/06/1981;25;5.18;7.75;33.5;0.0;97.99;6.7;5.11;67.88;8.43;5.6;68.44;28.9;9.78;19.33;30.51;-257.2;36.65;20.71
1981;6;20;20/06/1981;25;4.09;8.79;37.94;0.0;98.13;5.31;6.98;141.69;6.77;8.59;141.88;29.79;11.51;20.65;31.97;-255.39;38.69;20.93
1981;6;21;21/06/1981;26;4.17;8.73;35.56;0.0;98.1;5.38;5.41;162.88;6.81;6.76;162.75;30.27;11.54;20.9;32.4;-256.64;38.51;22.0
1981;6;22;22/06/1981;26;2.24;8.36;33.25;0.0;97.91;3.01;4.2;205.0;4.04;6.02;205.0;30.05;10.84;20.44;31.11;-259.46;36.64;22.95
1981;6;23;23/06/1981;26;2.81;8.61;32.88;0.1;97.67;3.87;6.68;151.38;5.27;7.34;151.62;30.22;11.26;20.74;30.17;-260.38;36.6;23.83
1981;6;24;24/06/1981;26;3.04;6.9;25.19;0.15;97.61;4.2;7.55;143.12;6.02;8.86;143.81;31.59;7.77;19.68;32.06;-257.17;40.6;24.62
1981;6;25;25/06/1981;26;5.29;8.54;32.56;0.52;97.48;7.0;7.4;145.62;9.06;7.88;147.12;33.37;10.53;21.94;34.1;-251.75;44.17;22.77
1981;6;26;26/06/1981;26;3.41;9.7;33.19;0.21;97.83;4.44;4.01;273.44;6.01;4.81;271.88;32.0;13.02;22.51;33.52;-262.02;37.73;26.6
1981;6;27;27/06/1981;26;4.52;11.41;43.31;0.07;97.95;5.85;7.12;70.06;7.07;9.65;71.81;31.3;15.58;23.44;32.9;-256.08;40.07;23.0
1981;6;28;28/06/1981;27;4.12;6.16;18.75;0.0;97.85;5.62;5.67;151.81;7.88;4.94;152.19;35.94;5.98;20.96;36.4;-256.2;45.26;28.32
1981;6;29;29/06/1981;27;4.89;5.07;14.0;0.3;98.03;6.59;6.21;147.88;9.42;5.52;148.12;36.62;3.82;20.22;37.02;-255.67;45.73;28.26
1981;6;30;30/06/1981;27;3.69;4.7;13.44;0.01;98.18;4.89;7.03;129.88;6.8;10.79;129.38;36.37;2.28;19.33;37.57;-256.03;44.83;27.71
